LUO_ZUP,C,100;IME_LOV,C,100;ID_LOV,N,4,0;SO_V_VZORC,N,4,2;ST_VZORCEV,N,5,2;POSILJAJO,N,4,2;VL,C,1
NOVOMEŠKO;VELIKI GABER;1;1;2;1;1
GORENJSKO;DOVJE;2;0;0;0;
POMURSKO;KRIŽEVCI v PREKMURJU;3;0;0;0;
NOVOMEŠKO;VELIKA LOKA;4;1;0;0;1
GORENJSKO;UDENBORŠT;5;0;0;0;
GORENJSKO;TRŽIČ;6;0;0;0;
GORENJSKO;STORŽIČ;7;0;0;0;
NOVOMEŠKO;PLEŠIVICA;8;1;5;1;1
NOVOMEŠKO;TREBNJE;9;1;1;1;1
NOVOMEŠKO;MIRNA;10;1;0;0;
NOVOMEŠKO;ŠENTRUPERT;11;1;0;0;
NOVOMEŠKO;ŠENTJANŽ;12;1;0;0;
NOVOMEŠKO;NOVO MESTO;13;1;2;1;1
NOVOMEŠKO;MIRNA PEČ;14;1;0;0;1
NOVOMEŠKO;TREBELNO;15;1;0;0;1
NOVOMEŠKO;MOKRONOG;16;1;0;0;
NOVOMEŠKO;TRŽIŠČE;17;1;0;0;1
NOVOMEŠKO;OTOČEC;18;1;0;0;1
NOVOMEŠKO;ŠKOCJAN;19;1;0;0;1
NOVOMEŠKO;TOPLICE;20;1;4;1;1
NOVOMEŠKO;PADEŽ;21;1;0;0;1
NOVOMEŠKO;GORJANCI;22;1;1;1;1
NOVOMEŠKO;BRUSNICE;23;1;0;0;1
NOVOMEŠKO;OREHOVICA;24;1;0;0;1
NOVOMEŠKO;ŠENTJERNEJ;25;1;0;0;1
GORENJSKO;KRANJSKA GORA;26;0;0;0;
GORENJSKO;JESENICE;27;0;0;0;
GORENJSKO;BLED;28;0;0;0;
GORENJSKO;STOL - ŽIROVNICA;29;0;0;0;
GORENJSKO;BEGUNJŠČICA;30;0;0;0;
GORENJSKO;JELOVICA;31;0;0;0;
GORENJSKO;KROPA;32;0;0;0;
GORENJSKO;STARA FUŽINA;33;0;0;0;
GORENJSKO;BOHINJSKA BISTRICA;34;0;0;0;
GORENJSKO;NOMENJ - GORJUŠE;35;0;0;0;
GORENJSKO;SORICA;36;0;0;0;
GORENJSKO;ŽELEZNIKI;37;0;0;0;
GORENJSKO;SELCA;38;0;0;0;
GORENJSKO;JOŠT - KRANJ;39;0;0;0;
GORENJSKO;DOBRČA;40;0;0;0;
GORENJSKO;LPN KOZOROG KAMNIK;41;0;0;0;
GORENJSKO;JEZERSKO;42;0;0;0;
GORENJSKO;ŠENČUR;43;0;0;0;
GORENJSKO;KRVAVEC;44;0;0;0;
KOČEVSKO - BELOKRANJSKO;OSILNICA;45;1;24;1;1
GORENJSKO;KOMENDA;46;0;0;0;
GORENJSKO;VODICE;47;0;0;0;
KOČEVSKO - BELOKRANJSKO;LPN MEDVED;48;1;17;1;
GORENJSKO;MENGEŠ;49;0;0;0;
NOTRANJSKO;KOZLEK;50;1;17;1;1
NOTRANJSKO;ZEMON;51;1;0;0;
PRIMORSKO;FAJTI HRIB;52;1;0;0;
GORENJSKO;PŠATA;53;0;0;0;
PRIMORSKO;GABERK - DIVAČA;54;1;3;1;1
PRIMORSKO;SENOŽEČE;55;1;1;1;1
PRIMORSKO;VIDEŽ - KOZINA;56;1;0;0;
PRIMORSKO;TIMAV - VREME;57;1;0;0;
GORENJSKO;ŠMARNA GORA;58;0;0;0;
PRIMORSKO;MAREZIGE;59;0;0;0;
PRIMORSKO;DEKANI;60;1;0;0;
PRIMORSKO;KOPER;61;0;0;0;
PRIMORSKO;ŠMARJE;62;0;0;0;
PRIMORSKO;IZOLA;63;0;0;0;
PRIMORSKO;STRUNJAN;64;0;0;0;
GORENJSKO;TOŠKO ČELO;65;0;0;0;
POHORSKO;JAMNICA;66;0;0;0;
GORENJSKO;MEDVODE;67;0;0;0;
POMURSKO;CANKOVA;68;0;0;0;
GORENJSKO;DOBROVA;69;0;0;0;
GORENJSKO;POLHOV GRADEC;70;0;0;0;
GORENJSKO;HORJUL;71;0;0;0;
GORENJSKO;ŠENTJOŠT;72;0;0;0;
GORENJSKO;SORŠKO POLJE;73;0;0;0;
GORENJSKO;KRIŽNA GORA;74;0;0;0;
GORENJSKO;ŠKOFJA LOKA;75;0;0;0;
GORENJSKO;POLJANE;76;0;0;0;
GORENJSKO;GORENJA VAS;77;0;0;0;
GORENJSKO;ŽIRI;78;0;0;0;
GORENJSKO;SOVODENJ;79;0;0;0;
KOČEVSKO - BELOKRANJSKO;GROSUPLJE;80;1;0;0;1
KOČEVSKO - BELOKRANJSKO;KRKA;81;1;0;0;
KOČEVSKO - BELOKRANJSKO;DOBREPOLJE;82;1;10;1;1
KOČEVSKO - BELOKRANJSKO;SUHA KRAJINA;83;1;8;1;1
KOČEVSKO - BELOKRANJSKO;TURJAK;84;1;2;1;1
KOČEVSKO - BELOKRANJSKO;VELIKE LAŠČE;85;1;7;1;1
KOČEVSKO - BELOKRANJSKO;VELIKE POLJANE;86;1;5;1;1
GORENJSKO;LPN BRDO pri KRANJU;87;0;0;0;
KOČEVSKO - BELOKRANJSKO;SODRAŽICA;88;1;0;0;1
KOČEVSKO - BELOKRANJSKO;LOŠKI POTOK;89;1;0;1;1
KOČEVSKO - BELOKRANJSKO;RIBNICA;90;1;10;1;1
KOČEVSKO - BELOKRANJSKO;DOLENJA VAS;91;1;4;1;1
KOČEVSKO - BELOKRANJSKO;STRUGE;92;1;0;1;
KOČEVSKO - BELOKRANJSKO;KOČEVJE;93;1;18;1;1
KOČEVSKO - BELOKRANJSKO;MALA GORA;94;1;0;1;
KOČEVSKO - BELOKRANJSKO;LAZINA;95;1;9;1;1
KOČEVSKO - BELOKRANJSKO;DRAGA;96;1;0;1;
KOČEVSKO - BELOKRANJSKO;BANJA LOKA - KOSTEL;97;1;21;1;1
KOČEVSKO - BELOKRANJSKO;PREDGRAD;98;1;4;1;1
KOČEVSKO - BELOKRANJSKO;SINJI VRH;99;1;0;0;
KOČEVSKO - BELOKRANJSKO;DRAGATUŠ;100;1;1;1;1
KOČEVSKO - BELOKRANJSKO;VINICA;101;1;0;0;
KOČEVSKO - BELOKRANJSKO;LOKA;102;1;0;0;
KOČEVSKO - BELOKRANJSKO;ADLEŠIČI;103;1;0;0;1
KOČEVSKO - BELOKRANJSKO;SMUK - SEMIČ;104;1;0;0;
KOČEVSKO - BELOKRANJSKO;ČRNOMELJ;105;1;9;1;1
KOČEVSKO - BELOKRANJSKO;METLIKA;106;1;0;0;
KOČEVSKO - BELOKRANJSKO;GRADAC;107;1;0;0;1
KOČEVSKO - BELOKRANJSKO;SUHOR;108;1;0;0;
KOČEVSKO - BELOKRANJSKO;LPN SNEŽNIK KOČEVSKA REKA;109;1;0;0;
KOČEVSKO - BELOKRANJSKO;LPN ŽITNA GORA;110;1;4;1;
NOTRANJSKO;BREZOVICA;111;1;4;1;
NOTRANJSKO;LPN LJUBLJANSKI VRH;112;1;2;1;
NOTRANJSKO;BOROVNICA;113;1;0;0;1
NOTRANJSKO;RAKITNA;114;1;1;1;1
NOTRANJSKO;TOMIŠELJ;115;1;4;1;1
NOTRANJSKO;RAKOVNIK - ŠKOFLJICA;116;1;1;1;1
NOTRANJSKO;RAKEK;117;1;0;0;
NOTRANJSKO;BEGUNJE;118;1;13;1;1
NOTRANJSKO;CAJNARJE;119;1;8;1;1
NOTRANJSKO;ŽILCE;120;1;8;1;1
NOTRANJSKO;MOKRC;121;1;2;1;1
NOTRANJSKO;JAVORNIK;122;1;10;1;1
NOTRANJSKO;IG;123;1;0;1;
NOTRANJSKO;GRAHOVO;124;1;28;1;1
NOTRANJSKO;NOVA VAS;125;1;23;1;1
NOTRANJSKO;PRESTRANEK;126;1;31;1;1
NOTRANJSKO;CERKNICA;127;1;22;1;1
NOTRANJSKO;GORNJE JEZERO;128;1;20;1;1
NOTRANJSKO;LOŽ - STARI TRG;129;1;49;1;1
NOTRANJSKO;PIVKA;130;1;0;0;
NOTRANJSKO;IGA VAS;131;1;45;1;1
NOTRANJSKO;BABNO POLJE;132;1;0;1;
NOTRANJSKO;LPN JELEN;133;1;88;1;
NOTRANJSKO;TABOR ZAGORJE;134;1;42;1;1
NOTRANJSKO;TRNOVO;135;1;0;0;
PRIMORSKO;TRSTELJ - KOSTANJEVICA;136;0;0;0;
PRIMORSKO;TABOR - DORNBERK;137;1;0;0;
PRIMORSKO;JEZERO - KOMEN;138;0;0;0;
PRIMORSKO;BRJE - ERZELJ;139;1;0;0;
PRIMORSKO;DOLCE - KOMEN;140;1;0;0;
PRIMORSKO;ŠTANJEL;141;1;0;0;
PRIMORSKO;KRAS - DUTOVLJE;142;1;0;0;
PRIMORSKO;VRHE - VRABČE;143;1;0;0;1
PRIMORSKO;RAŠA - ŠTORJE;144;1;1;1;1
PRIMORSKO;TABOR SEŽANA;145;1;0;0;
PRIMORSKO;GRADIŠČE - KOŠANA;146;1;11;1;1
PRIMORSKO;PREM;147;1;0;1;
PRIMORSKO;BUKOVCA;148;1;0;0;
PRIMORSKO;BRKINI;149;1;16;1;1
PRIMORSKO;ŽABNIK - OBROV;150;1;0;0;
PRIMORSKO;SLAVNIK - MATERIJA;151;1;0;0;
PRIMORSKO;KOJNIK - PODGORJE;152;1;0;0;
PRIMORSKO;RIŽANA;153;1;0;0;
PRIMORSKO;ISTRA - GRAČIŠČE;154;1;0;0;
POHORSKO;KOPRIVNA;155;0;0;0;
POHORSKO;BISTRA;156;0;0;0;
POHORSKO;PECA;157;0;0;0;
POHORSKO;PODGORJE;158;0;0;0;
POHORSKO;SLOVENJ GRADEC;159;0;0;0;
POHORSKO;PREŽIHOVO;160;0;0;0;
POHORSKO;STROJNA;161;0;0;0;
POHORSKO;LIBELIČE;162;0;0;0;
POHORSKO;BUKOVJE;163;0;0;0;
POHORSKO;GRADIŠČE;164;0;0;0;
POHORSKO;GOLAVABUKA;165;0;0;0;
POHORSKO;MISLINJA;166;0;0;0;
POHORSKO;DOLIČ;167;0;0;0;
POHORSKO;LPN POHORJE;168;0;0;0;
POHORSKO;ZELENI VRH;169;0;0;0;
POHORSKO;DRAVOGRAD;170;0;0;0;
POHORSKO;RADLJE;171;0;0;0;
POHORSKO;ORLICA;172;0;0;0;
POHORSKO;JANŽEV VRH;173;0;0;0;
POHORSKO;MUTA;174;0;0;0;
POHORSKO;REMŠNIK;175;0;0;0;
POHORSKO;PODVELKA;176;0;0;0;
POHORSKO;KAPLA;177;0;0;0;
POHORSKO;PUŠČAVA;178;0;0;0;
POHORSKO;VURMAT;179;0;0;0;
POHORSKO;BOČ na KOZJAKU;180;0;0;0;
POHORSKO;GAJ nad MARIBOROM;181;0;0;0;
POHORSKO;RUŠE;182;0;0;0;
POHORSKO;RADVANJE;183;0;0;0;
POHORSKO;HOČE;184;0;0;0;
POHORSKO;FRAM;185;0;0;0;
POHORSKO;SLOVENSKA BISTRICA;186;0;0;0;
POHORSKO;OPLOTNICA;187;0;0;0;
POHORSKO;ZREČE;188;0;0;0;
POSAVSKO;LOKA pri ZIDANEM MOSTU;189;0;0;0;
POSAVSKO;BOŠTANJ;190;0;0;0;
POSAVSKO;SEVNICA;191;0;0;0;
POSAVSKO;ZABUKOVJE;192;0;0;0;
POHORSKO;ŠMARTNO na POHORJU;193;0;0;0;
POSAVSKO;STUDENEC - VELIKI TRN;194;0;0;0;
POSAVSKO;BRESTANICA;195;0;0;0;
POSAVSKO;BUČKA;196;0;0;0;
POSAVSKO;SENOVO;197;0;0;0;
POSAVSKO;VELIKI KAMEN;198;0;0;0;
POSAVSKO;RAKA;199;0;0;0;
POSAVSKO;VIDEM ob SAVI;200;0;0;0;
POSAVSKO;ARTIČE;201;0;0;0;
POSAVSKO;PIŠECE;202;0;0;0;
POSAVSKO;BIZELJSKO;203;0;0;0;
POSAVSKO;GLOBOKO;204;0;0;0;
POSAVSKO;KRŠKO;205;0;0;0;
POSAVSKO;KAPELE;206;0;0;0;
POSAVSKO;BREŽICE;207;0;0;0;
POSAVSKO;DOBOVA;208;0;0;0;
POSAVSKO;MOKRICE;209;0;0;0;
POSAVSKO;CERKLJE ob KRKI;210;0;0;0;
POSAVSKO;ČATEŽ ob SAVI;211;0;0;0;
POSAVSKO;VELIKI PODLOG;212;0;0;0;
POSAVSKO;KOSTANJEVICA na KRKI;213;0;0;0;
POMURSKO;APAČE;214;0;0;0;
POMURSKO;GORNJA RADGONA;215;0;0;0;
POMURSKO;NEGOVA;216;0;0;0;
POSAVSKO;PODBOČJE;217;0;0;0;
POMURSKO;VIDEM ob ŠČAVNICI;218;0;0;0;
POMURSKO;RADENCI;219;0;0;0;
POMURSKO;KRIŽEVCI pri LJUTOMERU;220;0;0;0;
POMURSKO;LJUTOMER;221;0;0;0;
POMURSKO;MALA NEDELJA;222;0;0;0;
POMURSKO;ROGAŠOVCI;223;0;0;0;
POMURSKO;PEČAROVCI;224;0;0;0;
POMURSKO;GRAD - KUZMA;225;0;0;0;
POMURSKO;LPN KOMPAS PESKOVCI;226;0;0;0;
POMURSKO;RADOVCI;227;0;0;0;
POMURSKO;DOLINA;228;0;0;0;
POMURSKO;IVANOVCI;229;0;0;0;
POMURSKO;PROSENJAKOVCI;230;0;0;0;
POMURSKO;RANKOVCI;231;0;0;0;
POMURSKO;BREZOVCI;232;0;0;0;
POMURSKO;TIŠINA;233;0;0;0;
POMURSKO;MURSKA SOBOTA;234;0;0;0;
POMURSKO;MLAJTINCI;235;0;0;0;
POMURSKO;MORAVCI;236;0;0;0;
POMURSKO;BOGOJINA;237;0;0;0;
POMURSKO;DOBROVNIK;238;0;0;0;
POMURSKO;LPN FAZAN BELTINCI;239;0;0;0;
POMURSKO;KOBILJE;240;0;0;0;
POMURSKO;BAKOVCI - LIPOVCI;241;0;0;0;
POMURSKO;PETIŠOVCI;242;0;0;0;
POMURSKO;VELIKA POLANA;243;0;0;0;
POMURSKO;LENDAVA;244;0;0;0;
SAVINJSKO - KOZJANSKO;ŠKALE;245;0;0;0;
SAVINJSKO - KOZJANSKO;OLJKA;246;0;0;0;
SAVINJSKO - KOZJANSKO;VELENJE;247;0;0;0;
SAVINJSKO - KOZJANSKO;POLZELA;248;0;0;0;
SAVINJSKO - KOZJANSKO;VITANJE;249;0;0;0;
SAVINJSKO - KOZJANSKO;ŽALEC;250;0;0;0;
SAVINJSKO - KOZJANSKO;DOBRNA;251;0;0;0;
SAVINJSKO - KOZJANSKO;VOJNIK;252;0;0;0;
SAVINJSKO - KOZJANSKO;SLOVENSKE KONJICE;253;0;0;0;
SAVINJSKO - KOZJANSKO;LOČE;254;0;0;0;
SAVINJSKO - KOZJANSKO;PONIKVA;255;0;0;0;
SAVINJSKO - KOZJANSKO;KAJUH - ŠMARTNO;256;0;0;0;
SAVINJSKO - KOZJANSKO;GRMADA - CELJE;257;0;0;0;
SAVINJSKO - KOZJANSKO;HUM - CELJE;258;0;0;0;
SAVINJSKO - KOZJANSKO;GOZDNIK - GRIŽE;259;0;0;0;
SAVINJSKO - KOZJANSKO;BOJANSKO - ŠTORE;260;0;0;0;
SAVINJSKO - KOZJANSKO;ŠENTJUR pri CELJU;261;0;0;0;
SAVINJSKO - KOZJANSKO;LOG ŠENTVID;262;0;0;0;
SAVINJSKO - KOZJANSKO;ŠMARJE pri JELŠAH;263;0;0;0;
SAVINJSKO - KOZJANSKO;PRISTAVA;264;0;0;0;
SAVINJSKO - KOZJANSKO;LOKA pri ŽUSMU;265;0;0;0;
SAVINJSKO - KOZJANSKO;JURKLOŠTER;266;0;0;0;
SAVINJSKO - KOZJANSKO;HANDIL - DOBJE;267;0;0;0;
SAVINJSKO - KOZJANSKO;KOZJE;268;0;0;0;
SAVINJSKO - KOZJANSKO;BOHOR - PLANINA;269;0;0;0;
SAVINJSKO - KOZJANSKO;PODČETRTEK;270;0;0;0;
SAVINJSKO - KOZJANSKO;BISTRICA ob SOTLI;271;0;0;0;
SAVINJSKO - KOZJANSKO;PODSREDA;272;0;0;0;
SLOVENSKO - GORIŠKO;KUNGOTA;273;0;0;0;
SLOVENSKO - GORIŠKO;ŠENTILJ v SLOVENSKIH GORICAH;274;0;0;0;
SLOVENSKO GORIŠKO;PALOMA - SLADKI VRH;275;0;0;0;
SLOVENSKO - GORIŠKO;KAMNICA;276;0;0;0;
SLOVENSKO GORIŠKO;KOŠAKI - MALEČNIK;277;0;0;0;
SLOVENSKO - GORIŠKO;PESNICA - JARENINA;278;0;0;0;
SLOVENSKO GORIŠKO;JAKOB;279;0;0;0;
SLOVENSKO GORIŠKO;SVETA ANA;280;0;0;0;
SLOVENSKO GORIŠKO;VELKA;281;0;0;0;
SLOVENSKO GORIŠKO;SVETI JURIJ - JUROVSKI DOL;282;0;0;0;
SLOVENSKO GORIŠKO;LENART v SLOVENSKIH GORICAH;283;0;0;0;
SLOVENSKO GORIŠKO;BENEDIKT;284;0;0;0;
SLOVENSKO GORIŠKO;DOBRAVA v SLOVENSKIH GORICAH;285;0;0;0;
SLOVENSKO GORIŠKO;PERNICA;286;0;0;0;
SLOVENSKO GORIŠKO;VOLIČINA;287;0;0;0;
SLOVENSKO GORIŠKO;DUPLEK;288;0;0;0;
SLOVENSKO GORIŠKO;POBREŽJE;289;0;0;0;
PTUJSKO - ORMOŠKO;JURŠINCI;290;0;0;0;
SLOVENSKO GORIŠKO;STARŠE;291;0;0;0;
SAVINJSKO - KOZJANSKO;PREBOLD;292;0;0;0;
SLOVENSKO GORIŠKO;RAČE;293;0;0;0;
TRIGLAVSKO;LOG pod MANGRTOM;294;0;0;0;
TRIGLAVSKO;BOVEC;295;0;0;0;
SAVINJSKO - KOZJANSKO;TABOR;296;0;0;0;
SLOVENSKO GORIŠKO;POLSKAVA;297;0;0;0;
SLOVENSKO GORIŠKO;LAPORJE;298;0;0;0;
TRIGLAVSKO;KOBARID;299;0;0;0;
TRIGLAVSKO;ČEZSOČA;300;0;0;0;
TRIGLAVSKO;TOLMIN;301;0;0;0;
SAVINJSKO - KOZJANSKO;REČICA pri LAŠKEM;302;0;0;0;
SAVINJSKO - KOZJANSKO;LAŠKO;303;0;0;0;
TRIGLAVSKO;DREŽNICA;304;0;0;0;
TRIGLAVSKO;SMAST;305;0;0;0;
TRIGLAVSKO;LJUBINJ;306;0;0;0;
TRIGLAVSKO;PODBRDO;307;0;0;0;
TRIGLAVSKO;VOLČE;308;0;0;0;
TRIGLAVSKO;LPN PRODI RAZOR;309;0;0;0;
TRIGLAVSKO;POREZEN;310;0;0;0;
ZAHODNO VISOKO KRAŠKO;KANAL;311;1;0;0;
TRIGLAVSKO;PLANOTA;312;0;0;0;
ZAHODNO VISOKO KRAŠKO;DOBROVO;313;1;0;0;
ZAHODNO VISOKO KRAŠKO;SABOTIN;314;1;0;0;
ZAHODNO VISOKO KRAŠKO;ANHOVO;315;1;0;0;1
TRIGLAVSKO;OTAVNIK;316;0;0;0;
ZAHODNO VISOKO KRAŠKO;MOST na SOČI;317;1;0;0;
ZAHODNO VISOKO KRAŠKO;GRGAR;318;1;0;0;1
ZAHODNO VISOKO KRAŠKO;GORICA;319;1;0;0;1
ZAHODNO VISOKO KRAŠKO;LIJAK;320;1;0;0;1
ZAHODNO VISOKO KRAŠKO;TRNOVSKI GOZD;321;1;1;1;1
ZAHODNO VISOKO KRAŠKO;ČEPOVAN;322;1;0;0;1
ZAHODNO VISOKO KRAŠKO;TREBUŠA;323;1;0;0;
ZAHODNO VISOKO KRAŠKO;ČAVEN;324;1;0;0;1
ZAHODNO VISOKO KRAŠKO;HUBELJ;325;1;0;0;
ZAHODNO VISOKO KRAŠKO;JAVORNIK;326;1;6;1;1
ZAHODNO VISOKO KRAŠKO;DOLE;327;1;5;1;1
ZAHODNO VISOKO KRAŠKO;KOZJE STENA;328;1;0;0;1
SLOVENSKO GORIŠKO;ČREŠNJEVEC;329;0;0;0;
ZAHODNO VISOKO KRAŠKO;VIPAVA;330;1;0;0;
ZAHODNO VISOKO KRAŠKO;ČRNA JAMA;331;1;0;0;
ZAHODNO VISOKO KRAŠKO;BUKOVJE;332;1;0;0;1
ZAHODNO VISOKO KRAŠKO;PLANINA;333;1;4;1;1
ZAHODNO VISOKO KRAŠKO;LOGATEC;334;1;2;1;1
ZAHODNO VISOKO KRAŠKO;COL;335;1;4;1;1
ZAHODNO VISOKO KRAŠKO;VOJKOVO;336;1;0;0;1
ZAHODNO VISOKO KRAŠKO;VRHNIKA;337;1;1;1;1
ZAHODNO VISOKO KRAŠKO;HRENOVICE;338;1;0;0;1
ZAHODNO VISOKO KRAŠKO;HOTEDRŠICA;339;1;7;1;1
ZAHODNO VISOKO KRAŠKO;ROVTE;340;1;0;0;1
ZASAVSKO;PUGLED;341;0;0;0;
ZASAVSKO;LAZE;342;0;0;0;
ZASAVSKO;KRESNICE;343;0;0;0;
ZASAVSKO;IZLAKE;344;0;0;0;
ZASAVSKO;MORAVČE;345;0;0;0;
ZASAVSKO;VAČE;346;0;0;0;
ZASAVSKO;MLINŠE;347;0;0;0;
ZASAVSKO;ČEMŠENIK;348;0;0;0;
ZASAVSKO;ŠENTLAMBERT;349;0;0;0;
PTUJSKO - ORMOŠKO;MARKOVCI;350;0;0;0;
ZASAVSKO;ZAGORJE;351;0;0;0;
ZASAVSKO;TRBOVLJE;352;0;0;0;
ZASAVSKO;VIŠNJA GORA;353;0;0;0;
ZASAVSKO;HRASTNIK;354;0;0;0;
ZASAVSKO;DOBOVEC;355;0;0;0;
ZASAVSKO;ŠMARTNO pri LITIJI;356;0;0;0;
ZASAVSKO;LITIJA;357;0;0;0;
ZASAVSKO;DOL pri HRASTNIKU;358;0;0;0;
ZASAVSKO;IVANČNA GORICA;359;0;0;0;
ZASAVSKO;ŠENTVID pri STIČNI;360;0;0;0;
ZASAVSKO;RADEČE;361;0;0;0;
KAMNIŠKO - SAVINJSKO;SOLČAVA;362;0;0;0;
KAMNIŠKO - SAVINJSKO;LUČE;363;0;0;0;
ZASAVSKO;POLŠNIK;364;0;0;0;
ZASAVSKO;GABROVKA;365;0;0;0;
ZASAVSKO;DOLE pri LITIJI;366;0;0;0;
KAMNIŠKO - SAVINJSKO;SMREKOVEC;367;0;0;0;
KAMNIŠKO - SAVINJSKO;VELUNJA ŠOŠTANJ;368;0;0;0;
KAMNIŠKO - SAVINJSKO;GORNJI GRAD;369;0;0;0;
KAMNIŠKO - SAVINJSKO;DRETA NAZARJE;370;0;0;0;
ZASAVSKO;PODKUM;371;0;0;0;
KAMNIŠKO - SAVINJSKO;VRANSKO;372;0;0;0;
KAMNIŠKO - SAVINJSKO;STAHOVICA;373;0;0;0;
KAMNIŠKO - SAVINJSKO;KAMNIK;374;0;0;0;
KAMNIŠKO - SAVINJSKO;LJUBNO;375;0;0;0;
KAMNIŠKO - SAVINJSKO;REČICA ob SAVINJI;376;0;0;0;
KAMNIŠKO - SAVINJSKO;MOZIRJE;377;0;0;0;
KAMNIŠKO - SAVINJSKO;DOMŽALE;378;0;0;0;
KAMNIŠKO - SAVINJSKO;LUKOVICA;379;0;0;0;
KAMNIŠKO - SAVINJSKO;BRASLOVČE;380;0;0;0;
KAMNIŠKO - SAVINJSKO;SELA pri KAMNIKU;381;0;0;0;
KAMNIŠKO - SAVINJSKO;TUHINJ;382;0;0;0;
KAMNIŠKO - SAVINJSKO;MOTNIK - ŠPITALIČ;383;0;0;0;
SAVINJSKO - KOZJANSKO;DRAMLJE;384;0;0;0;
PTUJSKO - ORMOŠKO;CIRKOVCE;385;0;0;0;
KAMNIŠKO - SAVINJSKO;TROJANE - OŽBOLT;386;0;0;0;
PTUJSKO - ORMOŠKO;TRNOVSKA VAS;387;0;0;0;
PTUJSKO - ORMOŠKO;VITOMARCI;388;0;0;0;
PTUJSKO - ORMOŠKO;DESTRNIK;389;0;0;0;
PTUJSKO - ORMOŠKO;TOMAŽ pri ORMOĹľU;390;0;0;0;
PTUJSKO - ORMOŠKO;IVANJKOVCI;391;0;0;0;
PTUJSKO - ORMOŠKO;KOG - VINSKI VRHOVI;392;0;0;0;
PTUJSKO - ORMOŠKO;SREDIŠČE;393;0;0;0;
PTUJSKO - ORMOŠKO;ORMOŽ;394;0;0;0;
PTUJSKO - ORMOŠKO;VELIKA NEDELJA;395;0;0;0;
