LUO_ZUP,C,100;IME_LOV,C,100;ID_LOV,N,4,0;SO_V_VZORC,N,4,2;ST_VZORCEV,N,5,2;POSILJAJO,N,4,2;VL,C,1
PTUJSKO - ORMOŠKO;BRESNICA - PODGORCI;396;0;0;0;
PTUJSKO - ORMOŠKO;DRAVINJA - MAJŠPERK;397;0;0;0;
PTUJSKO - ORMOŠKO;DORNAVA - POLENŠAK;398;0;0;0;
PTUJSKO - ORMOŠKO;SVETA MARJETA niĹľje PTUJA;399;0;0;0;
SLOVENSKO GORIŠKO;CIGONCA;400;0;0;0;
PTUJSKO - ORMOŠKO;ZAVRČ;401;0;0;0;
PTUJSKO - ORMOŠKO;ROGATEC;402;0;0;0;
PTUJSKO - ORMOŠKO;ROGAŠKA SLATINA;403;0;0;0;
ZAHODNO VISOKO KRAŠKO;NANOS;404;1;2;1;1
PTUJSKO - ORMOŠKO;CIRKULANE;405;0;0;0;
PTUJSKO - ORMOŠKO;JOŽE LACKO - PTUJ;406;0;0;0;
TRIGLAVSKO;LPN TRIGLAV;407;0;0;0;
TRIGLAVSKO;SOČA;408;0;0;0;
PTUJSKO - ORMOŠKO;BORIS KIDRIČ;409;0;0;0;
PTUJSKO - ORMOŠKO;PTUJ;410;0;0;0;
PTUJSKO - ORMOŠKO;LESKOVEC v HALOZAH;411;0;0;0;
PTUJSKO - ORMOŠKO;PODLEHNIK;412;0;0;0;
PTUJSKO - ORMOŠKO;MAKOLE;413;0;0;0;
PTUJSKO - ORMOŠKO;STOPERCE;414;0;0;0;
PTUJSKO - ORMOŠKO;ŽETALE;415;0;0;0;
PTUJSKO - ORMOŠKO;POLJČANE;416;0;0;0;
PTUJSKO - ORMOŠKO;BOČ;417;0;0;0;
NOVOMEŠKO;DOBRNIČ;418;1;0;0;1
KOČEVSKO - BELOKRANJSKO;TABORSKA JAMA;419;1;0;0;
POHORSKO;POGOREVC;420;0;0;0;
ZAHODNO VISOKO KRAŠKO;KREKOVŠE;421;1;4;1;1
ZAHODNO VISOKO KRAŠKO;IDRIJA;422;1;3;1;1
ZAHODNO VISOKO KRAŠKO;JELENK;423;1;2;1;1
Primorsko-goranska;LIBURNIJA;424;0;0;0;
Karlovačka;MALA JAVORNICA;425;0;0;0;
Karlovačka;DEBELI VRH;426;0;0;0;
Karlovačka;CRNI VRH;427;0;0;0;
Karlovačka;VELIKA KAPE A;428;0;0;0;
Karlovačka;SKRADSKA GORA;429;0;0;0;
Karlovačka;POKUPSKI BAZEN;430;0;0;0;
Karlovačka;PERJASIČKA KOSA;431;0;0;0;
Karlovačka;ŠUMBAR;432;0;0;0;
Karlovačka;MALA KAPELA I;433;0;0;0;
Karlovačka;KRPEL;434;0;0;0;
Karlovačka;KLEK;435;0;0;0;
Primorsko-goranska;RIČIĆKO BILO;436;0;0;0;
Karlovačka;CRNA DRAGA;437;0;0;0;
Karlovačka;KRIVI JAVOR I;438;0;0;0;
Primorsko-goranska;DOBRA;439;0;0;0;
Primorsko-goranska;ZEČA;440;0;0;0;
Primorsko-goranska;ZAVRŠJE;441;0;0;0;
Primorsko-goranska;UČKA;442;0;0;0;
Primorsko-goranska;SVETI GRGUR;443;0;0;0;
Primorsko-goranska;SNJEŽNIK;444;0;0;0;
Primorsko-goranska;SMREKOVA DRAGA;445;0;0;0;
Primorsko-goranska;RISNJAK;446;0;0;0;
Karlovačka;KREMEŠNICA;447;0;0;0;
Primorsko-goranska;PUNAT;448;0;0;0;
Primorsko-goranska;PLAVNIK;449;0;0;0;
Primorsko-goranska;PLANINA;450;0;0;0;
Primorsko-goranska;LOKVE;451;0;0;0;
Primorsko-goranska;LITORIĆ;452;0;0;0;
Karlovačka;CETINGRAD;453;0;0;0;
Karlovačka;VELIKO BRDO;454;0;0;0;
Primorsko-goranska;KUPJAČKI VRH;455;0;0;0;
Primorsko-goranska;KRMPOTE - LEDENICE;456;0;0;0;
Primorsko-goranska;KOŠUTNJAK;457;0;0;0;
Karlovačka;PETROVA GORA;458;0;0;0;
Primorsko-goranska;KASTAVSKA ŠUMA;459;0;0;0;
Primorsko-goranska;KALIFRONT;460;0;0;0;
Primorsko-goranska;GOLI OTOK;461;0;0;0;
Primorsko-goranska;DOLIN;462;0;0;0;
Primorsko-goranska;CETIN - GLOŽAC;463;0;0;0;
Primorsko-goranska;BJELOLASICA;464;0;0;0;
Primorsko-goranska;BAŠKA;465;0;0;0;
Karlovačka;EUGEN KVATERNIK;466;0;0;0;
Karlovačka;DRAGANIĆI;467;0;0;0;
Karlovačka;BUKOVAČA;468;0;0;0;
Karlovačka;BABINA GORA;469;0;0;0;
Karlovačka;BRŠLJANOVICA;470;0;0;0;
Zagrebačka;BUKOVAC - NOVAKUŠA;471;0;0;0;
Zagrebačka;ČESMA - BOLČANSKI LUG;472;0;0;0;
Zagrebačka;ČRNOVŠČAK;473;0;0;0;
Zagrebačka;VUKŠINAC;474;0;0;0;
Zagrebačka;ŽUMBERAČKA GORA;475;0;0;0;
Zagrebačka;OKIČKI LUG;476;0;0;0;
Zagrebačka;SOPOT;477;0;0;0;
Zagrebačka;PISAROVINSKI RIBNJACI;478;0;0;0;
Zagrebačka;MARČA;479;0;0;0;
Zagrebačka;ŽUTICA;480;0;0;0;
Zagrebačka;STUPNIČKI LUG;481;0;0;0;
Zagrebačka;ŠILJAKOVAČKA DUBRAVA;482;0;0;0;
Zagrebačka;TUROPOLJSKI LUG 1;483;0;0;0;
Zagrebačka;TUROPOLJSKI LUG 2;484;0;0;0;
Krapinsko-zagorska;MACELJ;485;0;0;0;
Sisačko-moslavačka;BELČIĆEV GAJ;486;0;0;0;
Sisačko-moslavačka;BREZOVICA;487;0;0;0;1
Sisačko-moslavačka;BUKOVA GREDA;488;0;0;0;
Sisačko-moslavačka;CRNČINA I;489;0;0;0;
Sisačko-moslavačka;DUBRAVA;490;0;0;0;
Sisačko-moslavačka;GREDE KAMARE;491;0;0;0;
Sisačko-moslavačka;GUŠĆE;492;0;0;0;
Sisačko-moslavačka;JAMARIČKO BRDO;493;0;0;0;
Sisačko-moslavačka;KALJE;494;0;0;0;
Sisačko-moslavačka;KLJUKA;495;0;0;0;
Sisačko-moslavačka;KOTAR ŠUMA;496;0;0;0;
Sisačko-moslavačka;LIPOVICA;497;0;0;0;
Sisačko-moslavačka;LIPOVLJANI;498;0;0;0;
Sisačko-moslavačka;LONJA;499;0;0;0;
Sisačko-moslavačka;MAJDAN I;500;0;0;0;
Sisačko-moslavačka;NOVSKO BRDO;501;0;0;0;
Sisačko-moslavačka;OPEKE I;502;0;0;0;
Sisačko-moslavačka;ORLOVA;503;0;0;0;
Sisačko-moslavačka;POPOV GAJ;504;0;0;0;
Sisačko-moslavačka;POSAVSKE ŠUME;505;0;0;0;
Sisačko-moslavačka;PROLOM;506;0;0;0;
Sisačko-moslavačka;ZRINSKA GORA I;507;0;0;0;
Sisačko-moslavačka;ŠAŠNA GREDA;508;0;0;0;
Sisačko-moslavačka;TRSTIKA;509;0;0;0;
Sisačko-moslavačka;VIŠNJIČKI BOK;510;0;0;0;
Sisačko-moslavačka;CRNČINA II;511;0;0;0;
Sisačko-moslavačka;MAJDAN II;512;0;0;0;
Sisačko-moslavačka;OPEKE II;513;0;0;0;
Sisačko-moslavačka;ZRINSKA GORA II;514;0;0;0;
Varaždinska;TRAKOŠČAN;515;0;0;0;
Varaždinska;KALNIK;516;0;0;0;
Koprivničko-križevačka;DUGAČKO BRDO;517;0;0;0;
Koprivničko-križevačka;ĐURĐEVAČKA BILOGORA;518;0;0;0;
Koprivničko-križevačka;MESARICA - PLAVO;519;0;0;0;
Koprivničko-križevačka;NOVIGRADSKA PLANINA;520;0;0;0;
Koprivničko-križevačka;PESKI;521;0;0;0;
Koprivničko-križevačka;POLUM;522;0;0;0;
Koprivničko-križevačka;REPAŠ;523;0;0;0;
Koprivničko-križevačka;SVIBOVICA;524;0;0;0;
Koprivničko-križevačka;ORSAGOVICA;525;0;0;0;
Bjelovarsko-bilogorska;BLATNICA;526;0;0;0;
Bjelovarsko-bilogorska;BJELOVARSKA BILOGORA;527;0;0;0;
Bjelovarsko-bilogorska;DUGAČKI GAJ;528;0;0;0;
Bjelovarsko-bilogorska;GARJEVICA;529;0;0;0;
Bjelovarsko-bilogorska;GRADINA - KRNJAČA;530;0;0;0;
Bjelovarsko-bilogorska;JASENOVA;531;0;0;0;
Bjelovarsko-bilogorska;JAVORNIK;532;0;0;0;
Bjelovarsko-bilogorska;KONČANICA;533;0;0;0;
Bjelovarsko-bilogorska;OBROVI;534;0;0;0;
Bjelovarsko-bilogorska;NARTA;535;0;0;0;
Bjelovarsko-bilogorska;PISANIČKA BILOGORA;536;0;0;0;
Bjelovarsko-bilogorska;SISČANI;537;0;0;0;
Bjelovarsko-bilogorska;VIROVITIČKA BILOGORA;538;0;0;0;
Bjelovarsko-bilogorska;VRANI KAMEN;539;0;0;0;
Bjelovarsko-bilogorska;ZAPADNA GARJEVICA;540;0;0;0;
Bjelovarsko-bilogorska;ZDENAČKI GAJ;541;0;0;0;
Bjelovarsko-bilogorska;ŽABLJAČKI LUG - ČESMA;542;0;0;0;
Bjelovarsko-bilogorska;TRUPINSKI - PAŠIJANSKI GAJ;543;0;0;0;
Bjelovarsko-bilogorska;VELIKI JANTAK;544;0;0;0;
Bjelovarsko-bilogorska;KRIVAJA;545;0;0;0;
Bjelovarsko-bilogorska;GAREŠNICA;546;0;0;0;
Ličko-senjska;ANTINOVICA;547;0;0;0;
Ličko-senjska;GOLO TRLO;548;0;0;0;
Ličko-senjska;BOK - VELIKI VRH;549;0;0;0;
Ličko-senjska;CRNO JEZERO;550;0;0;0;
Ličko-senjska;GODAČA;551;0;0;0;
Ličko-senjska;JABLANAC;552;0;0;0;
Ličko-senjska;KREKOVAČA;553;0;0;0;
Ličko-senjska;KRIVI JAVOR II;554;0;0;0;
Ličko-senjska;LUKOVO ŠUGARJE;555;0;0;0;
Ličko-senjska;RAMINO KORITO;556;0;0;0;
Ličko-senjska;RISOVAC;557;0;0;0;
Ličko-senjska;SENJ;558;0;0;0;
Ličko-senjska;SJEVERNI VELEBIT;559;0;0;0;
Ličko-senjska;ŠKRDA;560;0;0;0;
Ličko-senjska;BEGOVAČA;561;0;0;0;
Ličko-senjska;SV. JURAJ;562;0;0;0;
Ličko-senjska;ŠKAMNICA;563;0;0;0;
Ličko-senjska;VELINAC;564;0;0;0;
Ličko-senjska;VELIKI VUJNOVAC;565;0;0;0;
Ličko-senjska;VIDOVAČA - MARINA GLAVA;566;0;0;0;
Ličko-senjska;VISOČICA;567;0;0;0;
Ličko-senjska;VREBAC;568;0;0;0;
Ličko-senjska;BITORAJ;569;0;0;0;
Ličko-senjska;MRSINJ;570;0;0;0;
Ličko-senjska;PLJEŠIVICA;571;0;0;0;
Ličko-senjska;KRIVI JAVOR III;572;0;0;0;
Ličko-senjska;CRNA DULIBA - METLA;573;0;0;0;
Ličko-senjska;JADOVNO;574;0;0;0;
Ličko-senjska;SREDNJI VELEBIT;575;0;0;0;
Ličko-senjska;MALA KAPELA II;576;0;0;0;
Ličko-senjska;KARLOVIĆEVA KORITA;577;0;0;0;
Ličko-senjska;KREMEN;578;0;0;0;
Ličko-senjska;LISINA;579;0;0;0;
Ličko-senjska;LJUBOVO;580;0;0;0;
Ličko-senjska;MALI ALAN;581;0;0;0;
Ličko-senjska;VRH JELOVI;582;0;0;0;
Virovitičko-podravska;BANOV BROD;583;0;0;0;
Virovitičko-podravska;ĆERALIJE;584;0;0;0;
Virovitičko-podravska;GAJ - KOTLINE;585;0;0;0;
Virovitičko-podravska;JANKOVAC;586;0;0;0;
Virovitičko-podravska;JASENOVAČA;587;0;0;0;
Virovitičko-podravska;KUPRES - BILOGORA;588;0;0;0;
Virovitičko-podravska;ORAHOVAČKA PLANINA;589;0;0;0;
Virovitičko-podravska;PAPUK;590;0;0;0;
Virovitičko-podravska;SLATINSKO PRIGORJE;591;0;0;0;
Virovitičko-podravska;SUHOPOLJSKA BILOGORA;592;0;0;0;
Virovitičko-podravska;VOĆIN;593;0;0;0;
Virovitičko-podravska;GRUDNJAK;594;0;0;0;
Virovitičko-podravska;ČAĐAVIČKI LUG - SASTAVCI;595;0;0;0;
Požeško-slavonska;ISTOČNI PSUNJ;596;0;0;0;
Požeško-slavonska;JUŽNA KRNDIJA I;597;0;0;0;
Požeško-slavonska;JUŽNA KRNDIJA II;598;0;0;0;
Požeško-slavonska;JUŽNA KRNDIJA III;599;0;0;0;
Požeško-slavonska;JUŽNI PAPUK I;600;0;0;0;
Požeško-slavonska;JUŽNI PAPUK II;601;0;0;0;
Požeško-slavonska;JUŽNI PAPUK III;602;0;0;0;
Požeško-slavonska;PAKRAČKA POLJANA;603;0;0;0;
Požeško-slavonska;LJESKOVICA;604;0;0;0;
Požeško-slavonska;PAPUK - KRNDIJA;605;0;0;0;
Požeško-slavonska;POŽEŠKA GORA;606;0;0;0;
Požeško-slavonska;SJEVERNA BABJA GORA I;607;0;0;0;
Požeško-slavonska;SJEVERNA BABJA GORA II;608;0;0;0;
Požeško-slavonska;SJEVERNA BABJA GORA III;609;0;0;0;
Požeško-slavonska;SJEVERNI DILJ;610;0;0;0;
Požeško-slavonska;ZAPADNI PAPUK;611;0;0;0;
Požeško-slavonska;ZVEČEVO;612;0;0;0;
Požeško-slavonska;BLATUŠKO BRDO;613;0;0;0;
Požeško-slavonska;JUŽNA BABJA GORA IIb;614;0;0;0;
Brodsko-posavska;BRODSKI RIBNJACI - NOVI RIBNJAK JELAS;615;0;0;0;
Brodsko-posavska;SLOBOŠTINA;616;0;0;0;
Brodsko-posavska;GRADIŠKA BRDA;617;0;0;0;
Brodsko-posavska;JUŽNA BABJA GORA Ia;618;0;0;0;
Brodsko-posavska;JUŽNA BABJA GORA IIa;619;0;0;0;
Brodsko-posavska;KRNAD;620;0;0;0;
Brodsko-posavska;MEĐUSTRUGOVI;621;0;0;0;
Brodsko-posavska;MIGALOVCI;622;0;0;0;
Brodsko-posavska;MLADA VODICA - PUAVICE;623;0;0;0;
Brodsko-posavska;OKUČANSKA BRDA I;624;0;0;0;
Brodsko-posavska;OKUČANSKA BRDA II;625;0;0;0;
Brodsko-posavska;PODLOŽJE - KLJUČEVI;626;0;0;0;
Brodsko-posavska;PSUNJ;627;0;0;0;
Brodsko-posavska;RADINJE;628;0;0;0;
Brodsko-posavska;BRODSKI RIBNJACI - STARI RIBNJAK JELAS;629;0;0;0;
Brodsko-posavska;JUŽNA BABJA GORA Ib;630;0;0;0;
Zadarska;BONASTAR;631;0;0;0;
Zadarska;DUGI OTOK;632;0;0;0;
Zadarska;JELOVI TAVANI;633;0;0;0;
Zadarska;JUŽNI VELEBIT;634;0;0;0;
Zadarska;KOKIRNA - MILA LJUT;635;0;0;0;
Zadarska;KRUŠEVO - ORLJAK;636;0;0;0;
Zadarska;MASLOVARA;637;0;0;0;
Zadarska;MAZINSKA PLANINA;638;0;0;0;
Zadarska;BOKANJAČKO BLATO;639;0;0;0;
Zadarska;PAŠMAN - ZAGLAV;640;0;0;0;
Zadarska;POLJICA;641;0;0;0;
Zadarska;RAŽANAC;642;0;0;0;
Zadarska;RODALJICE - LISIČIĆ;643;0;0;0;
Zadarska;STANKOVCI;644;0;0;0;
Zadarska;STARIGRAD PAKLENICA;645;0;0;0;
Zadarska;SVETO BRDO;646;0;0;0;
Zadarska;TUN;647;0;0;0;
Zadarska;TUSTICA;648;0;0;0;
Zadarska;VRANA;649;0;0;0;
Zadarska;JAGODNJA D. - CRLJEN;650;0;0;0;
Zadarska;ZAPUNTEL;651;0;0;0;
Osječko-baranjska;BREZNICA;652;0;0;0;
Osječko-baranjska;LACIĆ - GLOŽĐE;653;0;0;0;
Osječko-baranjska;HALJEVO;654;0;0;0;
Osječko-baranjska;KARAŠ;655;0;0;0;
Osječko-baranjska;KOHA - KOZARAC;656;0;0;0;
Osječko-baranjska;KUJNJAK;657;0;0;0;
Osječko-baranjska;PODUNAVLJE - PODRAVLJE;658;0;0;0;
Osječko-baranjska;MUNJOROŠ;659;0;0;0;
Osječko-baranjska;ŠARKANJ - VRBLJE;660;0;0;0;
Osječko-baranjska;TOMIN HRAST;661;0;0;0;
Osječko-baranjska;MIHOLJAC;662;0;0;0;
Osječko-baranjska;ĐURĐENICA;663;0;0;0;
Osječko-baranjska;KAPELAČKI LUG;664;0;0;0;
Osječko-baranjska;JELAS - ĐOL;665;0;0;0;
Osječko-baranjska;MILINAC;666;0;0;0;
Osječko-baranjska;POPOVAC - KRSTOVI;667;0;0;0;
Osječko-baranjska;PODRAVLJE;668;0;0;0;
Osječko-baranjska;BUDIGOŠĆE;669;0;0;0;
Osječko-baranjska;KRNDIJA I;670;0;0;0;
Osječko-baranjska;KRNDIJA II;671;0;0;0;
Osječko-baranjska;KRNDIJA III;672;0;0;0;
Osječko-baranjska;NAŠIČKA BREZNICA;673;0;0;0;
Osječko-baranjska;BRATILJEVCI - SJEVERNI DILJ;674;0;0;0;
Šibensko-kninska;MOSEĆ I;675;0;0;0;
Šibensko-kninska;OŠTRICA;676;0;0;0;
Šibensko-kninska;PROMINA;677;0;0;0;
Šibensko-kninska;SVILAJA I;678;0;0;0;
Šibensko-kninska;TRTAR;679;0;0;0;
Šibensko-kninska;DINARA;680;0;0;0;
Šibensko-kninska;KOZJAK - POLAČA;681;0;0;0;
Šibensko-kninska;PLAVNO;682;0;0;0;
Šibensko-kninska;RAPE - ZRMANJA;683;0;0;0;
Vukovarsko-srijemska;DUGO CERJE - ČESTA - VOĆIN;684;0;0;0;
Vukovarsko-srijemska;BOK;685;0;0;0;
Vukovarsko-srijemska;DIONICA;686;0;0;0;
Vukovarsko-srijemska;DUBRAVE;687;0;0;0;
Vukovarsko-srijemska;GRABARJE - LUŠČIĆ;688;0;0;0;
Vukovarsko-srijemska;JELAŠ;689;0;0;0;
Vukovarsko-srijemska;KUNJEVCI;690;0;0;0;
Vukovarsko-srijemska;MEROLINO;691;0;0;0;
Vukovarsko-srijemska;NADIŠEVCI;692;0;0;0;
Vukovarsko-srijemska;SPAČVA;693;0;0;0;
Vukovarsko-srijemska;STARI RAĐENOVCI;694;0;0;0;
Vukovarsko-srijemska;TRIZLOVI - RASTOVO;695;0;0;0;
Vukovarsko-srijemska;DURGUTOVICA I;696;0;0;0;
Vukovarsko-srijemska;VRAPČANA;697;0;0;0;
Vukovarsko-srijemska;TOPOLA;698;0;0;0;
Vukovarsko-srijemska;BANOV DOL;699;0;0;0;
Vukovarsko-srijemska;ČUNJEVCI;700;0;0;0;
Vukovarsko-srijemska;DESIĆEVO;701;0;0;0;
Vukovarsko-srijemska;TROMEĐA;702;0;0;0;
Vukovarsko-srijemska;DURGUTOVICA II;703;0;0;0;
Splitsko-dalmatinska;BIOKOVO;704;0;0;0;
Splitsko-dalmatinska;BOROVAČA;705;0;0;0;
Splitsko-dalmatinska;DINARA - CRVENE GREDE;706;0;0;0;
Splitsko-dalmatinska;KAMEŠNICA;707;0;0;0;
Splitsko-dalmatinska;KOZJAK;708;0;0;0;
Splitsko-dalmatinska;MAGLAJ - CISTA;709;0;0;0;
Splitsko-dalmatinska;MATOKIT - VRGORAC;710;0;0;0;
Splitsko-dalmatinska;MOSEĆ II;711;0;0;0;
Splitsko-dalmatinska;MOSOR;712;0;0;0;
Splitsko-dalmatinska;OMIŠKA DINARA;713;0;0;0;
Splitsko-dalmatinska;OSOJE;714;0;0;0;
Splitsko-dalmatinska;PELEGRIN;715;0;0;0;
Splitsko-dalmatinska;SVILAJA II;716;0;0;0;
Splitsko-dalmatinska;ŠĆEDRO;717;0;0;0;
Splitsko-dalmatinska;ŠIBENIK - VRGORAC;718;0;0;0;
Splitsko-dalmatinska;VIDOVA GORA;719;0;0;0;
Splitsko-dalmatinska;VISOKA PLEŠIVICA;720;0;0;0;
Splitsko-dalmatinska;VRDOVO;721;0;0;0;
Splitsko-dalmatinska;VUČJA DUBRAVA;722;0;0;0;
Splitsko-dalmatinska;TOVARNICA - JELINAK;723;0;0;0;
Splitsko-dalmatinska;KOPRŠNICA - TIJARICA;724;0;0;0;
Splitsko-dalmatinska;RILIĆ - BAĆINSKA JEZERA;725;0;0;0;
Istarska;BARBARIGA;726;0;0;0;
Istarska;BUDAVA;727;0;0;0;
Istarska;ČEPIĆKO POLJE;728;0;0;0;
Istarska;DONJA MIRNA;729;0;0;0;
Istarska;LIM;730;0;0;0;
Istarska;MAJ;731;0;0;0;
Istarska;PLOMINSKA GORA;732;0;0;0;
Istarska;RAŠA;733;0;0;0;
Istarska;UBAŠ;734;0;0;0;
Dubrovačko-neretvanska;JAKLJAN;735;0;0;0;
Dubrovačko-neretvanska;MALA ŽABA (METKOVIĆ);736;0;0;0;
Dubrovačko-neretvanska;MRČARA - PREŽBA;737;0;0;0;
Dubrovačko-neretvanska;PRIMORJE;738;0;0;0;
Dubrovačko-neretvanska;RUJNICA;739;0;0;0;
Dubrovačko-neretvanska;SLIVNO (METKOVIĆ);740;0;0;0;
Dubrovačko-neretvanska;STRIŽEVO;741;0;0;0;
Dubrovačko-neretvanska;SVETI ILIJA - OREBIĆ;742;0;0;0;
Dubrovačko-neretvanska;ŠAKNJA RAT;743;0;0;0;
Dubrovačko-neretvanska;ZAGORJE;744;0;0;0;
